source,target,rel,weight
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Paris Party Supplies > Paris Tableware,SAME_AS,0.3896
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Basketball Party Supplies > Basketball Party Tableware,SAME_AS,0.3501
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Superman Party Supplies > Superman Party Tableware,SAME_AS,0.3464
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Easter Party Supplies > Easter Party Tableware,SAME_AS,0.3834
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Shark Party Supplies > Shark Party Tableware,SAME_AS,0.3865
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Luau Party Supplies > Luau Tableware,SAME_AS,0.4034
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Plaid Party Supplies > Plaid Party Tableware,SAME_AS,0.3678
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Cars Party Supplies > Cars Party Tableware,SAME_AS,0.4015
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Casino Party Supplies > Casino Party Tableware,SAME_AS,0.3538
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Themed Party Supplies > Themed Party Tableware,SAME_AS,0.3584
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Barbie Party Supplies > Barbie Party Tableware,SAME_AS,0.3546
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Sloth Party Supplies > Sloth Party Tableware,SAME_AS,0.3693
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Halloween Party Supplies > Halloween Party Tableware,SAME_AS,0.3589
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Bunny Party Supplies > Bunny Party Tableware,SAME_AS,0.3653
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Sports Party Supplies > Sports Party Tableware,SAME_AS,0.3882
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > The Lion King Party Supplies > The Lion King Party Tableware,SAME_AS,0.3394
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Marvel Party Supplies > Marvel Party Tableware,SAME_AS,0.3531
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Tangled Party Supplies > Tangled Party Tableware,SAME_AS,0.3476
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Galaxy Party Supplies > Galaxy Party Tableware,SAME_AS,0.3444
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Race Car Party Supplies > Race Car Tableware,SAME_AS,0.3681
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Football Party Supplies > Football Party Tableware,SAME_AS,0.3596
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Cactus Party Supplies > Cactus Party Tableware,SAME_AS,0.3435
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Tea Party Party Supplies > Tea Party Tableware,SAME_AS,0.4166
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Disney Party Supplies > Disney Party Tableware,SAME_AS,0.3698
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Unicorn Party Supplies > Unicorn Tableware,SAME_AS,0.3658
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Emoji Party Supplies > Emoji Tableware,SAME_AS,0.3752
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Train Party Supplies > Train Tableware,SAME_AS,0.4242
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Nerf Party Supplies > Nerf Tableware,SAME_AS,0.4022
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Moana Party Supplies > Moana Party Tableware,SAME_AS,0.3551
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Fairy Party Supplies > Fairy Party Tableware,SAME_AS,0.3684
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Trolls Party Supplies > Trolls Party Tableware,SAME_AS,0.3727
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > 90s Party Supplies > 90s Party Tableware,SAME_AS,0.3891
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Character Party Supplies > Character Party Tableware,SAME_AS,0.3489
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Donut Party Supplies > Donut Party Tableware,SAME_AS,0.3518
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Airplanes Party Supplies > Airplanes Tableware,SAME_AS,0.3445
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Hot Wheels Party Supplies > Hot Wheels Tableware,SAME_AS,0.3445
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Llama Party Supplies > Llama Party Tableware,SAME_AS,0.363
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Hulk Party Supplies > Hulk Party Tableware,SAME_AS,0.3693
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Birthday Shop > Birthday Party Tableware,SAME_AS,0.3503
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Birthday Shop > Birthday Party Supplies > Birthday Party Tableware,SAME_AS,0.3475
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Pirate Party Supplies > Pirate Party Tableware,SAME_AS,0.3634
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Baseball Party Supplies > Baseball Tableware,SAME_AS,0.3892
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Home > Storage & Organization > Holiday & Christmas Storage > Dinnerware Storage,SAME_AS,0.4352
