uid,retailer,name,path,level,items,n_leaves,is_leaf,coreness
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags",Staples,Backpacks & Laptop Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags",2,1064.0,4,False,0.5531398416886543
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",Staples,Backpacks,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",3,585.0,1,True,0.5764528301886792
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",Staples,Laptop Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",3,87.0,1,True,0.5026415094339622
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",Staples,Laptop Sleeves & Cases,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",3,300.0,1,True,0.5586415094339622
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",Staples,Messenger Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",3,92.0,1,True,0.5056603773584906
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios",Staples,Briefcases & Padfolios,"Bags, Backpacks & Luggage > Briefcases & Padfolios",2,495.0,3,False,0.5189445910290237
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Briefcases",Staples,Briefcases,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Briefcases",3,205.0,1,True,0.5458113207547169
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Padfolios",Staples,Padfolios,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Padfolios",3,117.0,1,True,0.5168301886792452
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Totes & Handbags",Staples,Totes & Handbags,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Totes & Handbags",3,173.0,1,True,0.5376603773584905
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories",Staples,Luggage & Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories",2,1384.0,5,False,0.5696042216358839
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags",Staples,Luggage & Duffel Bags,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags",3,1001.0,2,False,0.5882264150943396
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Sport & Duffel Bags",Staples,Sport & Duffel Bags,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Sport & Duffel Bags",4,120.0,1,True,0.5566238532110092
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Suitcases & Luggage Sets",Staples,Suitcases & Luggage Sets,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Suitcases & Luggage Sets",4,881.0,1,True,0.5911926605504587
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories",Staples,Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories",3,383.0,3,False,0.5661886792452829
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers",Staples,"Luggage Tags, Locks & Covers","Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers",4,83.0,1,True,0.5458348623853211
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories",Staples,Personal Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories",4,152.0,1,True,0.5625688073394495
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches",Staples,"Toiletry Bags, Packing Cubes & Travel Pouches","Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches",4,148.0,1,True,0.5616880733944954
"Staples::Bags, Backpacks & Luggage > Totes & Handbags",Staples,Totes & Handbags,"Bags, Backpacks & Luggage > Totes & Handbags",2,577.0,2,False,0.5265435356200527
"Staples::Bags, Backpacks & Luggage > Totes & Handbags > Lunch Bags & Boxes",Staples,Lunch Bags & Boxes,"Bags, Backpacks & Luggage > Totes & Handbags > Lunch Bags & Boxes",3,404.0,1,True,0.568
Staples::Batteries & Power,Staples,Batteries & Power,Batteries & Power,1,1441.0,13,False,0.5061538461538461
Staples::Batteries & Power > Battery Shop,Staples,Battery Shop,Batteries & Power > Battery Shop,2,354.0,7,False,0.5891820580474934
Staples::Batteries & Power > Battery Shop > Camera & Camcorder Batteries & Chargers,Staples,Camera & Camcorder Batteries & Chargers,Batteries & Power > Battery Shop > Camera & Camcorder Batteries & Chargers,3,6.0,1,True,0.4589182389937107
Staples::Batteries & Power > Battery Shop > Cell Phone Batteries,Staples,Cell Phone Batteries,Batteries & Power > Battery Shop > Cell Phone Batteries,3,354.0,7,True,0.6577358490566038
Staples::Batteries & Power > Battery Shop > Computer & Laptop Batteries,Staples,Computer & Laptop Batteries,Batteries & Power > Battery Shop > Computer & Laptop Batteries,3,236.0,1,True,0.6448805031446541
Staples::Batteries & Power > Battery Shop > Cordless Phone Batteries,Staples,Cordless Phone Batteries,Batteries & Power > Battery Shop > Cordless Phone Batteries,3,13.0,1,True,0.4879748427672956
Staples::Batteries & Power > Battery Shop > General Purpose Batteries,Staples,General Purpose Batteries,Batteries & Power > Battery Shop > General Purpose Batteries,3,81.0,1,True,0.5832452830188678
Staples::Batteries & Power > Battery Shop > Hearing Aid Batteries,Staples,Hearing Aid Batteries,Batteries & Power > Battery Shop > Hearing Aid Batteries,3,3.0,1,True,0.4406037735849056
Staples::Batteries & Power > Battery Shop > Specialty Batteries,Staples,Specialty Batteries,Batteries & Power > Battery Shop > Specialty Batteries,3,15.0,1,True,0.49396226415094335
Staples::Batteries & Power > Power Management,Staples,Power Management,Batteries & Power > Power Management,2,1087.0,6,False,0.6475461741424802
Staples::Batteries & Power > Power Management > Battery Backup & UPS,Staples,Battery Backup & UPS,Batteries & Power > Power Management > Battery Backup & UPS,3,406.0,1,True,0.6630188679245282
Staples::Batteries & Power > Power Management > Extension Cords,Staples,Extension Cords,Batteries & Power > Power Management > Extension Cords,3,119.0,1,True,0.6042012578616351
Staples::Batteries & Power > Power Management > Power Distribution Units,Staples,Power Distribution Units,Batteries & Power > Power Management > Power Distribution Units,3,78.0,1,True,0.5804276729559747
Staples::Batteries & Power > Power Management > Power Inverters,Staples,Power Inverters,Batteries & Power > Power Management > Power Inverters,3,15.0,1,True,0.49396226415094335
Staples::Batteries & Power > Power Management > Surge Protectors & Power Strips,Staples,Surge Protectors & Power Strips,Batteries & Power > Power Management > Surge Protectors & Power Strips,3,443.0,1,True,0.6654842767295598
Staples::Batteries & Power > Power Management > UPS Accessories,Staples,UPS Accessories,Batteries & Power > Power Management > UPS Accessories,3,26.0,1,True,0.5205534591194968
Staples::Cleaning Supplies,Staples,Cleaning Supplies,Cleaning Supplies,1,5865.0,59,False,0.8076923076923076
Staples::Cleaning Supplies > Chemical Sterilization Equipment,Staples,Chemical Sterilization Equipment,Cleaning Supplies > Chemical Sterilization Equipment,2,5865.0,59,True,0.8871767810026385
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes,Staples,Cleaning Chemicals & Wipes,Cleaning Supplies > Cleaning Chemicals & Wipes,2,1490.0,8,False,0.8591556728232189
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Air Fresheners & Deodorizers,Staples,Air Fresheners & Deodorizers,Cleaning Supplies > Cleaning Chemicals & Wipes > Air Fresheners & Deodorizers,3,368.0,1,True,0.8465660377358492
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,Staples,Carpet Care,Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,3,30.0,1,True,0.6796981132075471
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,Staples,Cleaning Chemicals,Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,3,671.0,1,True,0.8721509433962265
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals,Staples,Dilution Control Systems & Chemicals,Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals,3,109.0,2,False,0.7709433962264152
