competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,sibling_coverage,concept_id,O_node,label,O
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care > Medical Tape,Cleaning > Medical Supplies > Wound Care > Medical Tape,4,True,2.0,Healthcare Supplies > Wound Care > Bandages > Medical Tape,0.7235742394426717,True,1.0,-0.9391176352517598,0.0,PARITY,97.32302934948385,54.02168736617836,1.0,1010,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care > Ointments,Cleaning > Medical Supplies > Wound Care > Ointments,4,True,10.0,Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antibiotic Ointments,0.5197933177591493,True,1.0,1.0680422225834318,0.0,DEEPEN,83.63121769431774,37.6695652173913,1.0,999,0.31673526068084595,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care > Wound Cleansing,Cleaning > Medical Supplies > Wound Care > Wound Cleansing,4,True,3.0,Healthcare Supplies > Wound Care > Advanced Wound Care,0.38485792857325185,False,1.0,0.0,0.0,PARITY,68.13415265660157,27.110915377926766,1.0,1833,,,
OfficeDepot,OfficeDepot::Cleaning > Paper Towels,Cleaning > Paper Towels,2,True,182.0,"Coffee, Water & Snacks > Paper Products > Paper Towels",0.7323175437399494,True,1.0,1.2658699489930552,0.0,DEEPEN,99.25431743390598,94.87179487179486,0.9753413490931323,211,0.030590673796087764,1P-CORE GAP,0.03240889633935946
OfficeDepot,OfficeDepot::Cleaning > Personal Care,Cleaning > Personal Care,2,False,354.0,Healthcare Supplies > Personal Care,0.6259611878940269,True,1.0,-1.3864077178002407,0.0,PARITY,54.041412625973734,48.89763779527559,0.9744456177402323,914,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Dental Care,Cleaning > Personal Care > Dental Care,3,True,10.0,Healthcare Supplies > Personal Dental Care,0.5497949918111166,True,1.0,-0.09712268659395029,0.0,PARITY,64.47934347586856,35.511811023622045,1.0,956,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Deodorant & Powders,Cleaning > Personal Care > Deodorant & Powders,3,True,8.0,Healthcare Supplies > Personal Care > Skin Care > Deodorant,0.5325734246310301,True,1.0,0.6679919874227496,0.0,PARITY,73.13704266129932,38.7304347826087,1.0,946,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Grooming,Cleaning > Personal Care > Grooming,3,True,44.0,"Gift Shop > Home, Personal & Travel > Grooming Sets",0.6021764512954334,True,1.0,-1.671004542199154,0.0,PARITY,77.72881077183781,28.749999999999996,1.0,755,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Hair Care,Cleaning > Personal Care > Hair Care,3,True,44.0,Retail Store Supplies > Spa & Salon > Hair,0.4856953068248483,True,1.0,1.1827011112151373,0.0,DEEPEN,64.50817708516793,39.30555555555556,1.0,1364,0.29677168659656467,CURATE - DEEPEN,0.31775030577590996
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Lint Rollers,Cleaning > Personal Care > Lint Rollers,3,True,12.0,Expanded Assortment > Paint & Paint Supplies > Paint Rollers,0.3647149401991867,False,1.0,0.0,0.0,PARITY,50.65561187109866,3.1549488551361247,1.0,1834,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Lotion,Cleaning > Personal Care > Lotion,3,True,21.0,Healthcare Supplies > Personal Care > Skin Care > Lotion & Moisturizer,0.4218812130711894,False,1.0,0.0,0.0,PARITY,50.65561187109866,32.7875710192608,1.0,1835,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Nail Care,Cleaning > Personal Care > Nail Care,3,True,3.0,Healthcare Supplies > Personal Care > Baby Care,0.3817801267142005,False,1.0,0.0,0.0,PARITY,50.65561187109866,22.979257918850656,1.0,1836,,,
OfficeDepot,OfficeDepot::Cleaning > Personal Care > Pet Supplies,Cleaning > Personal Care > Pet Supplies,3,True,212.0,Expanded Assortment > Pet Supplies & Accessories,0.571557918939182,True,1.0,4.613564416845344,0.0,DEEPEN,47.59494500036108,33.91587030983466,1.0,416,0.4256013880118705,VERTICAL EXTENSION,0.43764777871996857
OfficeDepot,OfficeDepot::Cleaning > Restroom Supplies,Cleaning > Restroom Supplies,2,False,212.0,Cleaning Supplies > Janitorial Paper & Dispensers > Dispensers & Restroom Equipment,0.4078861310313377,False,1.0,0.17748271607412391,0.0,PARITY,67.67056032894104,52.659037899944735,0.97515910490659,1837,,,
OfficeDepot,OfficeDepot::Cleaning > Restroom Supplies > Automatic Dispenser Systems,Cleaning > Restroom Supplies > Automatic Dispenser Systems,3,True,27.0,Cleaning Supplies > Janitorial Paper & Dispensers > Dispensers & Restroom Equipment > Toilet Paper Dispensers,0.27546472887227696,False,1.0,0.0,0.0,PARITY,57.563014704571344,0.0,1.0,1838,,,
OfficeDepot,OfficeDepot::Cleaning > Restroom Supplies > Bath Tissue Dispensers,Cleaning > Restroom Supplies > Bath Tissue Dispensers,3,True,7.0,Facilities > Bathroom Fixtures > Facial Tissue Dispensers,0.5821708061584524,True,1.0,1.6372604180333994,0.0,DEEPEN,78.25537479472257,64.23939875339032,1.0,440,0.21749959138716143,,
OfficeDepot,OfficeDepot::Cleaning > Restroom Supplies > Bathroom Tissue,Cleaning > Restroom Supplies > Bathroom Tissue,3,True,82.0,Party Supplies > Wrapping Supplies > Tissue Paper,0.3782821960096443,False,1.0,0.0,0.0,PARITY,57.563014704571344,17.697858654891405,1.0,1839,,,
