uid,retailer,name,path,level,items,is_leaf,in_scope,coreness
Staples::Audio > Portable Audio > Voice Recorders,Staples,Voice Recorders,Audio > Portable Audio > Voice Recorders,3,40.0,True,True,0.30953703703703705
"Staples::Bags, Backpacks & Luggage",Staples,"Bags, Backpacks & Luggage","Bags, Backpacks & Luggage",1,3347.0,False,True,0.4892307692307692
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags",Staples,Backpacks & Laptop Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags",2,1064.0,False,True,0.552755905511811
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",Staples,Backpacks,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",3,585.0,True,True,0.5663888888888889
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",Staples,Laptop Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",3,87.0,True,True,0.4984722222222222
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",Staples,Laptop Sleeves & Cases,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",3,300.0,True,True,0.5499999999999999
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",Staples,Messenger Bags,"Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",3,92.0,True,True,0.5002777777777777
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios",Staples,Briefcases & Padfolios,"Bags, Backpacks & Luggage > Briefcases & Padfolios",2,495.0,False,True,0.5187401574803149
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Briefcases",Staples,Briefcases,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Briefcases",3,205.0,True,True,0.5381944444444444
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Padfolios",Staples,Padfolios,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Padfolios",3,117.0,True,True,0.5095833333333333
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Totes & Handbags",Staples,Totes & Handbags,"Bags, Backpacks & Luggage > Briefcases & Padfolios > Totes & Handbags",3,173.0,True,True,0.5306944444444445
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories",Staples,Luggage & Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories",2,1384.0,False,True,0.5691338582677165
