source,target,rel,weight
Staples::Arts & Crafts,Staples::Arts & Crafts > Coloring Books,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Crafting,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Crayons,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Drafting Supplies,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Drawing & Colored Pencils,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Drawing Tools & Supplies,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Paint,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Painting Accessories,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Pastels,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Scrapbooking,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Sketch Pads & Books,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::School Supplies > Elementary School Supplies > Display Boards,CROSS_LISTED_UNDER,0.3333
Staples::Arts & Crafts,Staples::School Supplies > School Art Supplies > Art & School Markers,CROSS_LISTED_UNDER,0.3333
Staples::Arts & Crafts,Staples::Office Supplies > Writing Supplies & Instruments > Markers,CROSS_LISTED_UNDER,1.0
Staples::Arts & Crafts,Staples::Office Supplies > Writing Supplies & Instruments > Pencils,CROSS_LISTED_UNDER,1.0
Staples::Arts & Crafts,Staples::Office Supplies > Writing Supplies & Instruments > Pens,CROSS_LISTED_UNDER,1.0
Staples::Arts & Crafts > Crafting,Staples::Arts & Crafts > Crafting > Art Portfolios & Craft Storage,CHILD_OF,1.0
Staples::Arts & Crafts > Crafting,Staples::Arts & Crafts > Crafting > Craft Kits,CHILD_OF,1.0
Staples::Arts & Crafts > Crafting,Staples::Arts & Crafts > Crafting > Craft Supplies,CHILD_OF,1.0
Staples::Arts & Crafts > Drafting Supplies,OfficeDepot::Office Supplies > Drafting,SAME_AS,0.5102
Staples::Arts & Crafts > Paint,Staples::Facilities > Paint Supplies,CROSS_LISTED_UNDER,0.25
Staples::Arts & Crafts > Paint,Staples::Facilities > Paint Supplies > Sandpaper & Abrasives,CROSS_LISTED_UNDER,0.25
Staples::Arts & Crafts > Paint,Staples::Facilities > Paint Supplies > Surface Protection,CROSS_LISTED_UNDER,0.25
Staples::Arts & Crafts > Paint,Staples::Facilities > Paint Supplies > Wood Care & Maintenance,CROSS_LISTED_UNDER,0.25
Staples::Arts & Crafts > Scrapbooking,Staples::Arts & Crafts > Scrapbooking > Die Cutting,CHILD_OF,1.0
Staples::Arts & Crafts > Scrapbooking,Staples::Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,CHILD_OF,1.0
Staples::Arts & Crafts > Scrapbooking,Staples::Arts & Crafts > Scrapbooking > Stamps & Stencils,CHILD_OF,1.0
Staples::Arts & Crafts > Scrapbooking,Staples::Arts & Crafts > Scrapbooking > Stickers & Embellishments,CHILD_OF,1.0
Staples::Audio,Staples::Audio > Headphones,CHILD_OF,1.0
Staples::Audio,Staples::Audio > Headsets & Microphones,CHILD_OF,1.0
Staples::Audio,Staples::Audio > Portable Audio,CHILD_OF,1.0
Staples::Audio,OfficeDepot::Computers & Accessories > Software > Editing Software > Audio Editing Software,SAME_AS,0.4933
Staples::Audio,OfficeDepot::Electronics > Audio,SAME_AS,0.8602
Staples::Audio,OfficeDepot::Electronics > Audio > Audio Accessories,SAME_AS,0.5721
Staples::Audio,OfficeDepot::Electronics > Audio > Audio Accessories > Audio Cables & Adapters,SAME_AS,0.4986
Staples::Audio,OfficeDepot::Electronics > Audio > Home Audio,SAME_AS,0.5416
Staples::Audio,OfficeDepot::Electronics > Networking & Cables > Cables > Audio Cables,SAME_AS,0.6662
Staples::Audio,OfficeDepot::Electronics > TVs & Home Theater > Audio Devices,SAME_AS,0.489
Staples::Audio > Headphones,Staples::Audio > Headphones > Headphones,CHILD_OF,1.0
Staples::Audio > Headphones,OfficeDepot::Electronics > Audio > Headphones,SAME_AS,0.8931
Staples::Audio > Headphones > Headphones,OfficeDepot::Electronics > Audio > Headphones > Earbuds & In-Ear Headphones,SAME_AS,0.6294
Staples::Audio > Headphones > Headphones,OfficeDepot::Electronics > Audio > Headphones > On-Ear Headphones,SAME_AS,0.7113
Staples::Audio > Headphones > Headphones,OfficeDepot::Electronics > Audio > Headphones > Over-The-Ear Headphones,SAME_AS,0.6896
Staples::Audio > Headphones > Headphones,OfficeDepot::Electronics > Audio > Headphones > Wireless Headphones,SAME_AS,0.7242
Staples::Audio > Headsets & Microphones,Staples::Audio > Headsets & Microphones > Headsets,CHILD_OF,1.0
Staples::Audio > Headsets & Microphones,Staples::Furniture > Lecterns & PA Systems > Microphones,CROSS_LISTED_UNDER,1.0
Staples::Audio > Headsets & Microphones,OfficeDepot::Electronics > Audio > Audio Accessories > Microphone Accessories,SAME_AS,0.5664
Staples::Audio > Headsets & Microphones > Headsets,OfficeDepot::Computers & Accessories > Computer Accessories > Computer Speakers & Headsets > Computer Headsets,SAME_AS,0.5494
Staples::Audio > Headsets & Microphones > Headsets,OfficeDepot::Electronics > Audio > Headphones > Gaming Headsets,SAME_AS,0.5719
Staples::Audio > Headsets & Microphones > Headsets,OfficeDepot::Electronics > Phones & Accessories > VoIP > VoIP Headsets,SAME_AS,0.522
Staples::Audio > Portable Audio,Staples::Audio > Portable Audio > Home Theater Audio,CHILD_OF,1.0
Staples::Audio > Portable Audio,Staples::Audio > Portable Audio > Listening Centers,CHILD_OF,1.0
Staples::Audio > Portable Audio,Staples::Audio > Portable Audio > Portable Speakers & Radios,CHILD_OF,1.0
Staples::Audio > Portable Audio,Staples::Audio > Portable Audio > Two Way Radios,CHILD_OF,1.0
Staples::Audio > Portable Audio,Staples::Audio > Portable Audio > Voice Recorders,CHILD_OF,1.0
Staples::Audio > Portable Audio,OfficeDepot::Electronics > Audio > Home Audio,SAME_AS,0.5416
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,CHILD_OF,1.0
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,CHILD_OF,1.0
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,CHILD_OF,1.0
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,CHILD_OF,1.0
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Home Theater Audio > Speaker Stands,CHILD_OF,1.0
Staples::Audio > Portable Audio > Home Theater Audio,Staples::Audio > Portable Audio > Listening Centers,CROSS_LISTED_UNDER,0.5
Staples::Audio > Portable Audio > Home Theater Audio,Staples::TV & Streaming Media > TV & Video,CROSS_LISTED_UNDER,0.5
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,OfficeDepot::Electronics > Audio > Home Audio > Home Speakers,SAME_AS,0.5603
Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,OfficeDepot::Electronics > Audio > Audio Accessories > AV Receivers & Amplifiers,SAME_AS,0.7193
Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,Staples::Audio > Portable Audio > Home Theater Audio > Speaker Stands,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Listening Centers,Staples::Audio > Portable Audio > Portable Speakers & Radios,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Listening Centers,Staples::Audio > Portable Audio > Two Way Radios,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Listening Centers,Staples::Audio > Portable Audio > Voice Recorders,CROSS_LISTED_UNDER,1.0
Staples::Audio > Portable Audio > Two Way Radios,OfficeDepot::Electronics > Batteries & Power Protection > AV Batteries > Two-Way Radio Batteries,SAME_AS,0.5591
Staples::Audio > Portable Audio > Two Way Radios,OfficeDepot::Electronics > Wearable Technology > Two-Way Radios & Accessories,SAME_AS,0.643
