competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,O_node,label,O
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes",3,False,818.0,Paper > Envelopes > Envelopes,0.9279679,True,1.0,-0.32492562244825063,0.0,PARITY,75.58232315040074,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Booklet Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Booklet Envelopes",4,True,82.0,Paper > Envelopes > Envelopes,0.8150131,True,1.0,-2.614169098504722,0.0,PARITY,56.96002197265625,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Business Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Business Envelopes",4,True,227.0,Paper > Envelopes > Envelopes,0.80878943,True,1.0,-1.6036640773468793,0.0,PARITY,87.97251892089844,98.11023622047244,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Coin Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Coin Envelopes",4,True,33.0,Paper > Envelopes > Envelopes,0.8044215,True,1.0,-3.506649181685159,0.0,PARITY,54.6217041015625,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Interoffice Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Interoffice Envelopes",4,True,14.0,Paper > Envelopes > Envelopes,0.7784922,True,1.0,-4.324959505199111,0.0,PARITY,24.50904655456543,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Invitation Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Invitation Envelopes",4,True,157.0,Paper > Envelopes > Envelopes,0.8058957,True,1.0,-1.9704146732743535,0.0,PARITY,90.01910400390625,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Tax Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Tax Envelopes",4,True,73.0,Paper > Envelopes > Envelopes,0.81312335,True,1.0,-2.72894461309715,0.0,PARITY,67.2972183227539,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Envelopes > Window Envelopes","Office Supplies > Mailing, Packing & Shipping > Envelopes > Window Envelopes",4,True,66.0,Paper > Envelopes > Envelopes,0.7898981,True,1.0,-2.8283170869103547,0.0,PARITY,52.24018096923828,98.11023622047243,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies","Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies",3,False,113.0,"Shipping, Packing & Mailing Supplies > Shipping Supplies",0.8505187,True,1.0,-3.5277117220895553,0.0,PARITY,79.01003873031752,99.47506561679789,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Hand Trucks & Dollies","Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Hand Trucks & Dollies",4,True,19.0,Facilities > Material Handling > Hand Trucks & Dollies,0.9258765,True,1.0,-0.20551999421562517,0.0,PARITY,63.512508392333984,58.73842592592592,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Inspection & Shipping Tags","Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Inspection & Shipping Tags",4,True,22.0,"Shipping, Packing & Mailing Supplies > Shipping Supplies > Package Identification & Indicators > Shipping Tags & Seals",0.7263349,True,1.0,-1.0268862052995065,0.0,PARITY,100.0,96.83478260869565,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Pallet Covers","Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Pallet Covers",4,True,6.0,"Shipping, Packing & Mailing Supplies > Shipping Supplies > Poly Bags & Tubing > Pallet Covers & Sheeting",0.79046535,True,1.0,-1.0446727156299762,0.0,PARITY,77.63726806640625,91.2695652173913,,,
OfficeDepot,"OfficeDepot::Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Sealers","Office Supplies > Mailing, Packing & Shipping > Industrial Shipping Supplies > Sealers",4,True,1.0,"Facilities > Adhesives, Sealants and Patching > Concrete & Asphalt Maintenance > Cleaners and Sealers",0.76737005,True,1.0,-1.2621179973145176,0.0,PARITY,34.80195236206055,79.2695652173913,,,
