L1,L2,L3,L4,Final level Category,product_id,product_name
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24543639,V-Light LED 1.75x Magnifier Lamp (SVL40203BR)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,31638,Magnifree Hands-Free Magnifier
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24572619,OttLite LED 1.75x 2-in-1 Magnifier Floor and Table Lamp (43828C-SHPR)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,28865,"MagniSheet Deluxe Framed Page Magnifier, 10-3/4""X8-1/4"" (DM11)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,25712,MagEyes Magnifier Lens-#5 (2.25x)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,931990,Staples® Rectangular Magnifier
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,935735,Bausch & Lomb Sight Savers LED 2x Handheld Magnifier w/Light (628003)
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658292,"Mount-It! 360° Rotating Pegboard and Document Organizer with Accessories for Desks, White (MI-7301WHT)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658294,"Mount-It! Clamp-On Pegboard Organizer with Accessories for Desks, White (MI-7302WHT)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2637939,"Offices To Go Superior Laminate Top for BBF and FF, Autumn Walnut Laminate (TDSL22TOP-AWL)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24609562,"Purely E5620 Ergonomic Arm Rest/Elbow Support for Desk, 180° Adjustable Computer Desk Support Extender, Black (PARE5620)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658295,"Mount-It! 15""H x 42""W Under Desk Privacy Panel with Mesh Storage Pockets, Black (MI-7250)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,1025903,"Offices To Go Common Top, American Espresso"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24598107,"Mount-It! 2""H x 21""W Under-Desk Drawer, White (MI-7294WHT)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658296,"Mount-It! 15""H x 60""W Under Desk Privacy Panel with Mesh Storage Pockets, Black (MI-7251)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2508790,"Uncaged Ergonomics Rise Up 3-stage Dual Motor Electric Standing Desk Frame, Gray, Desktop Not Included (RUG)"
